accession	d	p	c	o	f	g	s	species
GB_GCA_011372855.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfobulbaceae	g__UBA10518	s__UBA10518 sp011372855	UBA10518 sp011372855
RS_GCF_000341395.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfocapsaceae	g__Desulfocapsa	s__Desulfocapsa sulfexigens	Desulfocapsa sulfexigens
GB_GCA_013139415.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfocapsaceae	g__Desulforhopalus	s__Desulforhopalus sp013139415	Desulforhopalus sp013139415
GB_GCA_014381505.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfocapsaceae	g__JACNLK01	s__JACNLK01 sp014381505	JACNLK01 sp014381505
GB_GCA_013792135.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfocapsaceae	g__UBA2270	s__UBA2270 sp002347745	UBA2270 sp002347745
GB_GCA_002424635.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfocapsaceae	g__UBA2270	s__UBA2270 sp002424635	UBA2270 sp002424635
GB_GCA_903887485.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfocapsaceae	g__UBA2270	s__UBA2270 sp903887485	UBA2270 sp903887485
GB_GCA_903891045.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfocapsaceae	g__UBA2270	s__UBA2270 sp903891045	UBA2270 sp903891045
GB_GCA_003509305.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfocapsaceae	g__UBA8130	s__UBA8130 sp003509305	UBA8130 sp003509305
GB_GCA_003557565.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfurivibrionaceae	g__Desulfurivibrio	s__Desulfurivibrio sp003557565	Desulfurivibrio sp003557565
GB_GCA_004332195.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfurivibrionaceae	g__Desulfurivibrio	s__Desulfurivibrio sp004332195	Desulfurivibrio sp004332195
GB_GCA_014382295.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfurivibrionaceae	g__JACNJZ01	s__JACNJZ01 sp014382295	JACNJZ01 sp014382295
GB_GCA_003249165.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfurivibrionaceae	g__SURF-16	s__SURF-16 sp003249165	SURF-16 sp003249165
GB_GCA_003517965.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfurivibrionaceae	g__UBA2262	s__UBA2262 sp003517965	UBA2262 sp003517965
GB_GCA_002414225.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfurivibrionaceae	g__UBA5123	s__UBA5123 sp002414225	UBA5123 sp002414225
RS_GCF_000620765.1	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfohalobiaceae	g__Desulfovermiculus	s__Desulfovermiculus halophilus	Desulfovermiculus halophilus
GB_GCA_003553695.1	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfonatronovibrionaceae	g__Desulfonatronospira	s__Desulfonatronospira sp003553695	Desulfonatronospira sp003553695
GB_GCA_003563255.1	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfonatronovibrionaceae	g__Desulfonatronospira	s__Desulfonatronospira sp003563255	Desulfonatronospira sp003563255
RS_GCF_000174435.1	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfonatronovibrionaceae	g__Desulfonatronospira	s__Desulfonatronospira thiodismutans	Desulfonatronospira thiodismutans
RS_GCF_001687335.1	d__Bacteria	p__Desulfobacterota	c__Dissulfuribacteria	o__Dissulfuribacterales	f__Dissulfuribacteraceae	g__Dissulfuribacter	s__Dissulfuribacter thermophilus	Dissulfuribacter thermophilus
RS_GCF_012979235.1	d__Bacteria	p__Desulfobacterota	c__Dissulfuribacteria	o__Dissulfuribacterales	f__Dissulfurirhabdaceae	g__Dissulfurirhabdus	s__Dissulfurirhabdus thermomarina	Dissulfurirhabdus thermomarina
GB_GCA_013154175.1	d__Bacteria	p__Desulfobacterota	c__Dissulfuribacteria	o__Dissulfuribacterales	f__QOAL01	g__JAADCZ01	s__JAADCZ01 sp013154175	JAADCZ01 sp013154175
GB_GCA_012961845.1	d__Bacteria	p__Desulfobacterota	c__Dissulfuribacteria	o__Dissulfuribacterales	f__UBA3076	g__DTYO01	s__DTYO01 sp012961845	DTYO01 sp012961845
GB_GCA_002367355.1	d__Bacteria	p__Desulfobacterota	c__Dissulfuribacteria	o__Dissulfuribacterales	f__UBA3076	g__UBA3076	s__UBA3076 sp002367355	UBA3076 sp002367355
GB_GCA_003194485.1	d__Bacteria	p__Desulfobacterota	c__Dissulfuribacteria	o__Dissulfuribacterales	f__UBA3076	g__UBA3076	s__UBA3076 sp003194485	UBA3076 sp003194485
GB_GCA_003194495.1	d__Bacteria	p__Desulfobacterota	c__Dissulfuribacteria	o__Dissulfuribacterales	f__UBA3076	g__UBA3076	s__UBA3076 sp003194495	UBA3076 sp003194495
GB_GCA_003645605.1	d__Bacteria	p__Desulfobacterota	c__Dissulfuribacteria	o__Dissulfuribacterales	f__UBA3076	g__UBA3076	s__UBA3076 sp003645605	UBA3076 sp003645605
GB_GCA_011042225.1	d__Bacteria	p__Desulfobacterota	c__Dissulfuribacteria	o__Dissulfuribacterales	f__UBA3076	g__UBA3076	s__UBA3076 sp011042225	UBA3076 sp011042225
GB_GCA_013138705.1	d__Bacteria	p__Desulfobacterota	c__Dissulfuribacteria	o__Dissulfuribacterales	f__UBA3076	g__UBA3076	s__UBA3076 sp013138705	UBA3076 sp013138705
GB_GCA_002419025.1	d__Bacteria	p__Desulfobacterota	c__Dissulfuribacteria	o__Dissulfuribacterales	f__UBA5754	g__UBA5754	s__UBA5754 sp002419025	UBA5754 sp002419025
GB_GCA_011327825.1	d__Bacteria	p__Desulfobacterota	c__JdFR-97	o__JdFR-97	f__JdFR-97	g__DSVT01	s__DSVT01 sp011327825	DSVT01 sp011327825
GB_GCA_007280345.1	d__Bacteria	p__Desulfobacterota	c__QYQD01	o__QYQD01	f__QYQD01	g__QYQD01	s__QYQD01 sp007280345	QYQD01 sp007280345
GB_GCA_002782605.1	d__Bacteria	p__Desulfobacterota	c__SM23-61	o__UBA8473	f__UBA8473	g__UBA8473	s__UBA8473 sp002782605	UBA8473 sp002782605
GB_GCA_003599365.1	d__Bacteria	p__Desulfobacterota	c__SM23-61	o__UBA8473	f__UBA8473	g__UBA8473	s__UBA8473 sp003599365	UBA8473 sp003599365
GB_GCA_009773075.1	d__Bacteria	p__Desulfobacterota	c__SM23-61	o__UBA8473	f__UBA8473	g__UBA8473	s__UBA8473 sp009773075	UBA8473 sp009773075
GB_GCA_903881505.1	d__Bacteria	p__Desulfobacterota	c__SM23-61	o__WTBG01	f__CAIRTM01	g__CAIRTM01	s__CAIRTM01 sp903881505	CAIRTM01 sp903881505
GB_GCA_903911225.1	d__Bacteria	p__Desulfobacterota	c__SM23-61	o__WTBG01	f__CAIRTM01	g__CAIWCT01	s__CAIWCT01 sp903911225	CAIWCT01 sp903911225
GB_GCA_011328795.1	d__Bacteria	p__Desulfobacterota	c__SM23-61	o__WTBG01	f__CAIYCZ01	g__DSVK01	s__DSVK01 sp011328795	DSVK01 sp011328795
GB_GCA_001873675.1	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__CG2-30-49-12	g__CG2-30-49-12	s__CG2-30-49-12 sp001873675	CG2-30-49-12 sp001873675
GB_GCA_003142295.1	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__UBA2185	g__Fen-1135	s__Fen-1135 sp003142295	Fen-1135 sp003142295
GB_GCA_003153775.1	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__UBA2185	g__Fen-1135	s__Fen-1135 sp003153775	Fen-1135 sp003153775
GB_GCA_903893135.1	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__UBA2185	g__Fen-1135	s__Fen-1135 sp903893135	Fen-1135 sp903893135
GB_GCA_002347815.1	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__UBA2251	g__UBA2251	s__UBA2251 sp002347815	UBA2251 sp002347815
GB_GCA_001829875.1	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__UBA5619	g__UBA5619	s__UBA5619 sp001829875	UBA5619 sp001829875
GB_GCA_001830835.1	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__UBA5619	g__UBA5619	s__UBA5619 sp001830835	UBA5619 sp001830835
GB_GCA_001873745.1	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__UBA5619	g__UBA5619	s__UBA5619 sp001873745	UBA5619 sp001873745
GB_GCA_013824905.1	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__UBA5619	g__UBA5619	s__UBA5619 sp013824905	UBA5619 sp013824905
GB_GCA_903903205.1	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__UBA5619	g__UBA5619	s__UBA5619 sp903903205	UBA5619 sp903903205
GB_GCA_903928915.1	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__UBA5619	g__UBA5619	s__UBA5619 sp903928915	UBA5619 sp903928915
GB_GCA_011328915.1	d__Bacteria	p__Desulfobacterota	c__Syntrophobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__DSUX01	s__DSUX01 sp011328915	DSUX01 sp011328915
GB_GCA_012517315.1	d__Bacteria	p__Desulfobacterota	c__Syntrophobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__JAAYUJ01	s__JAAYUJ01 sp012517315	JAAYUJ01 sp012517315
GB_GCA_012517775.1	d__Bacteria	p__Desulfobacterota	c__Syntrophobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__JAAYUJ01	s__JAAYUJ01 sp012517775	JAAYUJ01 sp012517775
GB_GCA_012517535.1	d__Bacteria	p__Desulfobacterota	c__Syntrophobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__JAAYUU01	s__JAAYUU01 sp012517535	JAAYUU01 sp012517535
GB_GCA_013314815.1	d__Bacteria	p__Desulfobacterota	c__Syntrophobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__JABUEY01	s__JABUEY01 sp013314815	JABUEY01 sp013314815
GB_GCA_003566995.1	d__Bacteria	p__Desulfobacterota	c__Syntrophobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__SLCH01	s__SLCH01 sp003566995	SLCH01 sp003566995
GB_GCA_007125915.1	d__Bacteria	p__Desulfobacterota	c__Syntrophobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__SLCH01	s__SLCH01 sp007125915	SLCH01 sp007125915
RS_GCF_900290365.1	d__Bacteria	p__Desulfobacterota	c__Syntrophobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__SbD1	s__SbD1 sp900290365	SbD1 sp900290365
GB_GCA_002298995.1	d__Bacteria	p__Desulfobacterota	c__Syntrophobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__UBA696	s__UBA696 sp002298995	UBA696 sp002298995
GB_GCA_013154385.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfatatoraceae	g__JAADCO01	s__JAADCO01 sp013154385	JAADCO01 sp013154385
RS_GCF_000421585.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfatatoraceae	g__Thermodesulfatator	s__Thermodesulfatator atlanticus	Thermodesulfatator atlanticus
RS_GCF_001642325.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfatatoraceae	g__Thermodesulfatator	s__Thermodesulfatator autotrophicus	Thermodesulfatator autotrophicus
RS_GCF_000217795.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfatatoraceae	g__Thermodesulfatator	s__Thermodesulfatator indicus	Thermodesulfatator indicus
GB_GCA_011321895.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfatatoraceae	g__Thermodesulfatator_A	s__Thermodesulfatator_A atlanticus_A	Thermodesulfatator_A atlanticus_A
GB_GCA_013153725.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfatatoraceae	g__Thermodesulfatator_A	s__Thermodesulfatator_A sp013153725	Thermodesulfatator_A sp013153725
GB_GCA_002441555.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Caldimicrobium	s__Caldimicrobium sp002441555	Caldimicrobium sp002441555
GB_GCA_009903935.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Caldimicrobium	s__Caldimicrobium sp009903935	Caldimicrobium sp009903935
GB_GCA_011055415.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Caldimicrobium	s__Caldimicrobium sp011055415	Caldimicrobium sp011055415
GB_GCA_011375865.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Caldimicrobium	s__Caldimicrobium sp011375865	Caldimicrobium sp011375865
RS_GCF_001548275.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Caldimicrobium	s__Caldimicrobium thiodismutans	Caldimicrobium thiodismutans
GB_GCA_002877875.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Caldimicrobium	s__Caldimicrobium thiodismutans_A	Caldimicrobium thiodismutans_A
GB_GCA_011369865.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Caldimicrobium	s__Caldimicrobium thiodismutans_B	Caldimicrobium thiodismutans_B
RS_GCF_000215975.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermodesulfobacterium	s__Thermodesulfobacterium geofontis	Thermodesulfobacterium geofontis
GB_GCA_002877985.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermodesulfobacterium	s__Thermodesulfobacterium geofontis_A	Thermodesulfobacterium geofontis_A
GB_GCA_011380535.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermodesulfobacterium	s__Thermodesulfobacterium geofontis_C	Thermodesulfobacterium geofontis_C
GB_GCA_011361985.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermodesulfobacterium	s__Thermodesulfobacterium geofontis_D	Thermodesulfobacterium geofontis_D
RS_GCF_000746255.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermodesulfobacterium	s__Thermodesulfobacterium hydrogeniphilum	Thermodesulfobacterium hydrogeniphilum
GB_GCA_013153525.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermodesulfobacterium	s__Thermodesulfobacterium sp013153525	Thermodesulfobacterium sp013153525
RS_GCF_001652585.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermosulfurimonas	s__Thermosulfurimonas dismutans	Thermosulfurimonas dismutans
GB_GCA_011322625.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermosulfurimonas_A	s__Thermosulfurimonas_A dismutans_A	Thermosulfurimonas_A dismutans_A
RS_GCF_012317585.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermosulfurimonas_A	s__Thermosulfurimonas_A marina	Thermosulfurimonas_A marina
GB_GCA_003978075.1	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermosulfurimonas_A	s__Thermosulfurimonas_A sp003978075	Thermosulfurimonas_A sp003978075
GB_GCA_004322275.1	d__Bacteria	p__Desulfobacterota_C	c__Deferrisomatia	o__Deferrisomatales	f__BM512	g__SCTA01	s__SCTA01 sp004322275	SCTA01 sp004322275
GB_GCA_009724975.1	d__Bacteria	p__Desulfobacterota_C	c__Deferrisomatia	o__Deferrisomatales	f__BM512	g__SCTA01	s__SCTA01 sp009724975	SCTA01 sp009724975
GB_GCA_001797445.1	d__Bacteria	p__Desulfobacterota_E	c__MBNT15	o__MBNT15	f__MBNT15	g__CG2-30-66-27	s__CG2-30-66-27 sp001797445	CG2-30-66-27 sp001797445
GB_GCA_001873935.1	d__Bacteria	p__Desulfobacterota_E	c__MBNT15	o__MBNT15	f__MBNT15	g__CG2-30-66-27	s__CG2-30-66-27 sp001873935	CG2-30-66-27 sp001873935
GB_GCA_002279275.1	d__Bacteria	p__Desulfobacterota_E	c__MBNT15	o__MBNT15	f__MBNT15	g__CG2-30-66-27	s__CG2-30-66-27 sp002279275	CG2-30-66-27 sp002279275
GB_GCA_007280195.1	d__Bacteria	p__Desulfobacterota_E	c__MBNT15	o__MBNT15	f__MBNT15	g__CG2-30-66-27	s__CG2-30-66-27 sp007280195	CG2-30-66-27 sp007280195
GB_GCA_011391555.1	d__Bacteria	p__Desulfobacterota_E	c__MBNT15	o__MBNT15	f__MBNT15	g__CG2-30-66-27	s__CG2-30-66-27 sp011391555	CG2-30-66-27 sp011391555
GB_GCA_003513855.1	d__Bacteria	p__Desulfobacterota_E	c__MBNT15	o__MBNT15	f__MBNT15	g__CSP1-8	s__CSP1-8 sp003513855	CSP1-8 sp003513855
GB_GCA_001798885.1	d__Bacteria	p__Desulfobacterota_E	c__MBNT15	o__MBNT15	f__MBNT15	g__RBG-16-64-85	s__RBG-16-64-85 sp001798885	RBG-16-64-85 sp001798885
GB_GCA_903822335.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__CAIJOT01	s__CAIJOT01 sp903822335	CAIJOT01 sp903822335
GB_GCA_011388995.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__DTOV01	s__DTOV01 sp011388995	DTOV01 sp011388995
GB_GCA_001603955.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__Delta-02	s__Delta-02 sp001603955	Delta-02 sp001603955
GB_GCA_002067235.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__Delta-02	s__Delta-02 sp002067235	Delta-02 sp002067235
GB_GCA_002305765.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__Delta-02	s__Delta-02 sp002305765	Delta-02 sp002305765
GB_GCA_002408185.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__Delta-02	s__Delta-02 sp002408185	Delta-02 sp002408185
GB_GCA_002412715.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__Delta-02	s__Delta-02 sp002412715	Delta-02 sp002412715
GB_GCA_002418985.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__Delta-02	s__Delta-02 sp002418985	Delta-02 sp002418985
GB_GCA_003506795.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__Delta-02	s__Delta-02 sp003506795	Delta-02 sp003506795
GB_GCA_012719415.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__Delta-02	s__Delta-02 sp012719415	Delta-02 sp012719415
GB_GCA_903872255.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__Delta-02	s__Delta-02 sp903872255	Delta-02 sp903872255
GB_GCA_013824645.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__PNOF01	s__PNOF01 sp013824645	PNOF01 sp013824645
GB_GCA_013824835.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__PNOM01	s__PNOM01 sp013824835	PNOM01 sp013824835
RS_GCF_000512235.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__Syntrophorhabdus	s__Syntrophorhabdus aromaticivorans	Syntrophorhabdus aromaticivorans
GB_GCA_002067585.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__Syntrophorhabdus	s__Syntrophorhabdus sp002067585	Syntrophorhabdus sp002067585
GB_GCA_002067975.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__UBA5609	s__UBA5609 sp002067975	UBA5609 sp002067975
GB_GCA_002418945.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__UBA5609	s__UBA5609 sp002418945	UBA5609 sp002418945
GB_GCA_002428485.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__UBA5609	s__UBA5609 sp002428485	UBA5609 sp002428485
GB_GCA_002478225.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__UBA5609	s__UBA5609 sp002478225	UBA5609 sp002478225
GB_GCA_002402795.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__UBA8905	s__UBA8905 sp002402795	UBA8905 sp002402795
GB_GCA_002067405.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__WCHB1-27	g__BOG-1155	s__BOG-1155 sp002067405	BOG-1155 sp002067405
GB_GCA_003165115.1	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__WCHB1-27	g__BOG-1155	s__BOG-1155 sp003165115	BOG-1155 sp003165115
GB_GCA_012727485.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Eubacteriales	f__Anaerofustaceae	g__JAAYHF01	s__JAAYHF01 sp012727485	JAAYHF01 sp012727485
GB_GCA_009782875.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Eubacteriales	f__Anaerofustaceae	g__WRIE01	s__WRIE01 sp009782875	WRIE01 sp009782875
GB_GCA_009782515.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Eubacteriales	f__Anaerofustaceae	g__WRIY01	s__WRIY01 sp009782515	WRIY01 sp009782515
RS_GCF_009696005.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_H	s__Eubacterium_H sp009696005	Eubacterium_H sp009696005
GB_GCA_900317175.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_H	s__Eubacterium_H sp900317175	Eubacterium_H sp900317175
GB_GCA_014337195.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__NSJ-38	s__NSJ-38 sp014337195	NSJ-38 sp014337195
RS_GCF_902363445.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__NSJ-38	s__NSJ-38 sp902363445	NSJ-38 sp902363445
GB_GCA_902796005.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__RUG14107	s__RUG14107 sp902796005	RUG14107 sp902796005
GB_GCA_900555455.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Robinsoniella	s__Robinsoniella sp900555455	Robinsoniella sp900555455
GB_GCA_900317045.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA1066	s__UBA1066 sp900317045	UBA1066 sp900317045
GB_GCA_009774135.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA7182	s__UBA7182 sp009774135	UBA7182 sp009774135
GB_GCA_004558975.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__UBA1740	s__UBA1740 sp004558975	UBA1740 sp004558975
GB_GCA_900554705.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-110	s__CAG-110 sp900554705	CAG-110 sp900554705
GB_GCA_900769835.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-110	s__CAG-110 sp900769835	CAG-110 sp900769835
GB_GCA_000436735.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-170	s__CAG-170 sp000436735	CAG-170 sp000436735
GB_GCA_004555655.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-170	s__CAG-170 sp004555655	CAG-170 sp004555655
GB_GCA_900555665.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-170	s__CAG-170 sp900555665	CAG-170 sp900555665
GB_GCA_012838125.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Sporobacter	s__Sporobacter sp012838125	Sporobacter sp012838125
